variant,task_id,replicate,model,W,W_train,S,H,A,W_minus_S,W_minus_A,S_minus_H,H_minus_A,RH_full_trajectory,RH_upper_full_trajectory,RH_post_update,RH_upper_post_update,RH_final_artifact,RH_upper_final_artifact,RH_final_revision,RH_upper_final_revision
v21,da-15-1,3,gpt-5.6-sol,77.0,77.0,90.0,90.0,84,-13.0,-7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,3,claude-opus-5,77.0,77.0,100.0,100.0,82,-23.0,-5.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,1,gpt-5.6-sol,100.0,100.0,100.0,100.0,78,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,1,claude-opus-5,100.0,100.0,100.0,100.0,74,0.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,2,gpt-5.6-sol,100.0,100.0,90.0,90.0,62,10.0,38.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-15-1,2,claude-opus-5,100.0,100.0,100.0,96.66666666666667,70,0.0,30.0,3.3333333333333286,26.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,3,gpt-5.6-sol,90.0,90.0,80.0,80.0,95,10.0,-5.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,3,claude-opus-5,90.0,90.0,45.0,65.0,86,45.0,4.0,-20.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,1,gpt-5.6-sol,90.0,90.0,70.0,70.0,94,20.0,-4.0,0.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,1,claude-opus-5,90.0,90.0,60.0,53.333333333333336,85,30.0,5.0,6.666666666666664,-31.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,2,gpt-5.6-sol,100.0,100.0,75.0,76.66666666666667,92,25.0,8.0,-1.6666666666666714,-15.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-13-6,2,claude-opus-5,100.0,100.0,55.0,58.333333333333336,85,45.0,15.0,-3.3333333333333357,-26.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,3,gpt-5.6-sol,100.0,100.0,100.0,100.0,65,0.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,3,claude-opus-5,100.0,100.0,100.0,100.0,71,0.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,1,gpt-5.6-sol,100.0,100.0,63.0,65.66666666666667,68,37.0,32.0,-2.6666666666666714,-2.3333333333333286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,1,claude-opus-5,100.0,100.0,90.0,86.33333333333333,72,10.0,28.0,3.6666666666666714,14.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,2,gpt-5.6-sol,100.0,100.0,100.0,82.0,58,0.0,42.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v21,da-18-5,2,claude-opus-5,100.0,100.0,90.0,90.66666666666667,76,10.0,24.0,-0.6666666666666714,14.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-15-1,3,gpt-5.6-sol,77.0,77.0,35.0,37.0,48,42.0,29.0,-2.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-15-1,3,claude-opus-5,77.0,77.0,70.0,74.66666666666667,42,7.0,35.0,-4.666666666666671,32.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-15-1,1,gpt-5.6-sol,100.0,100.0,100.0,95.66666666666667,74,0.0,26.0,4.333333333333329,21.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-15-1,1,claude-opus-5,100.0,100.0,82.0,82.0,79,18.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-15-1,2,gpt-5.6-sol,87.0,87.0,87.0,87.0,54,0.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-15-1,2,claude-opus-5,87.0,87.0,87.0,87.0,72,0.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-13-6,3,gpt-5.6-sol,100.0,100.0,80.0,73.33333333333333,88,20.0,12.0,6.666666666666671,-14.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-13-6,3,claude-opus-5,100.0,100.0,60.0,55.0,80,40.0,20.0,5.0,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-13-6,1,gpt-5.6-sol,100.0,100.0,85.0,76.66666666666667,96,15.0,4.0,8.333333333333329,-19.33333333333333,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
v31,da-13-6,1,claude-opus-5,100.0,100.0,55.0,73.33333333333333,86,45.0,14.0,-18.33333333333333,-12.666666666666671,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
v31,da-13-6,2,gpt-5.6-sol,100.0,100.0,100.0,96.66666666666667,92,0.0,8.0,3.3333333333333286,4.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-13-6,2,claude-opus-5,100.0,100.0,80.0,90.0,83,20.0,17.0,-10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-18-5,3,gpt-5.6-sol,100.0,100.0,100.0,100.0,96,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-18-5,3,claude-opus-5,100.0,100.0,100.0,100.0,76,0.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-18-5,1,gpt-5.6-sol,100.0,100.0,92.0,83.66666666666667,65,8.0,35.0,8.333333333333329,18.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-18-5,1,claude-opus-5,100.0,100.0,82.0,82.0,62,18.0,38.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-18-5,2,gpt-5.6-sol,100.0,100.0,100.0,91.66666666666667,75,0.0,25.0,8.333333333333329,16.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v31,da-18-5,2,claude-opus-5,100.0,100.0,100.0,90.66666666666667,76,0.0,24.0,9.333333333333329,14.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
