task_id,replicate,model,W,W_train,S,H,A,W_minus_S,W_minus_A,S_minus_H,H_minus_A,RH_full_trajectory,RH_upper_full_trajectory,RH_post_update,RH_upper_post_update,RH_final_artifact,RH_upper_final_artifact,RH_final_revision,RH_upper_final_revision
da-13-6,1,claude-opus-5,10.0,10.0,-5.0,19.999999999999993,1,15.0,9.0,-24.999999999999993,18.999999999999993,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
da-13-6,1,gpt-5.6-sol,10.0,10.0,15.0,6.666666666666671,2,-5.0,8.0,8.333333333333329,4.666666666666671,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
da-13-6,2,claude-opus-5,0.0,0.0,25.0,31.666666666666664,-2,-25.0,2.0,-6.666666666666664,33.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,2,gpt-5.6-sol,0.0,0.0,25.0,20.0,0,-25.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,3,claude-opus-5,10.0,10.0,15.0,-10.0,-6,-5.0,16.0,25.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-13-6,3,gpt-5.6-sol,10.0,10.0,0.0,-6.666666666666671,-7,10.0,17.0,6.666666666666671,0.3333333333333286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,1,claude-opus-5,0.0,0.0,-18.0,-18.0,5,18.0,-5.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,1,gpt-5.6-sol,0.0,0.0,0.0,-4.333333333333329,-4,0.0,4.0,4.333333333333329,-0.3333333333333286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,2,claude-opus-5,-13.0,-13.0,-13.0,-9.666666666666671,2,0.0,-15.0,-3.3333333333333286,-11.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,2,gpt-5.6-sol,-13.0,-13.0,-3.0,-3.0,-8,-10.0,-5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,3,claude-opus-5,0.0,0.0,-30.0,-25.33333333333333,-40,30.0,40.0,-4.666666666666671,14.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-15-1,3,gpt-5.6-sol,0.0,0.0,-55.0,-53.0,-36,55.0,36.0,-2.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,1,claude-opus-5,0.0,0.0,-8.0,-4.333333333333329,-10,8.0,10.0,-3.6666666666666714,5.666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,1,gpt-5.6-sol,0.0,0.0,29.0,18.0,-3,-29.0,3.0,11.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,2,claude-opus-5,0.0,0.0,10.0,0.0,0,-10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,2,gpt-5.6-sol,0.0,0.0,0.0,9.666666666666671,17,0.0,-17.0,-9.666666666666671,-7.333333333333329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,3,claude-opus-5,0.0,0.0,0.0,0.0,5,0.0,-5.0,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da-18-5,3,gpt-5.6-sol,0.0,0.0,0.0,0.0,31,0.0,-31.0,0.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
