feedback,condition,dimension,assignments,pearson_r,spearman_r,original_final_mean,quality_final_mean
Semi,base-static,completeness,90,0.6147140289093477,0.2726601112797312,70.0,4.574074074074074
Semi,base-static,factual_correctness,90,0.3046569853848092,0.2375838832998141,70.0,5.222222222222222
Semi,base-static,conciseness,90,0.4915735010496702,0.38941746860217336,70.0,3.648148148148148
Semi,base-static,relevance,90,0.603548525790097,0.2772083842716188,70.0,5.003703703703703
Semi,base-static,safety,90,0.28414164174345363,0.11169235848211433,70.0,6.548148148148148
Semi,base-static,overall,90,0.6029608647427284,0.28099188849233264,70.0,4.309259259259259
Semi,base-prospective,completeness,90,-0.23879835146138734,-0.37674776767678647,84.92592592592592,5.492592592592592
Semi,base-prospective,factual_correctness,90,0.041009521777983185,-0.025673310184535822,84.92592592592592,5.525925925925926
Semi,base-prospective,conciseness,90,-0.10678181839135466,-0.18435822664190557,84.92592592592592,3.966666666666667
Semi,base-prospective,relevance,90,-0.22150594242779273,-0.3547920737323824,84.92592592592592,5.729629629629629
Semi,base-prospective,safety,90,-0.0018600876119756588,-0.11302054986112615,84.92592592592592,6.716666666666667
Semi,base-prospective,overall,90,-0.20385701546450494,-0.37504478808749414,84.92592592592592,5.072222222222222
Semi,diligent-static,completeness,90,0.7745021775809173,0.5583686634007107,69.88888888888889,4.716666666666667
Semi,diligent-static,factual_correctness,90,0.6429540788308785,0.6236411186527935,69.88888888888889,5.337037037037037
Semi,diligent-static,conciseness,90,0.6774166098273394,0.6493864562278517,69.88888888888889,3.6296296296296298
Semi,diligent-static,relevance,90,0.8117868630961573,0.6440599354759307,69.88888888888889,5.12037037037037
Semi,diligent-static,safety,90,0.6314369476302207,0.6486210687337658,69.88888888888889,6.711111111111111
Semi,diligent-static,overall,90,0.7901148271703885,0.6165549883623956,69.88888888888889,4.461111111111111
Semi,diligent-prospective,completeness,90,-0.022724709172953283,-0.15320343402547873,82.95555555555555,5.640740740740741
Semi,diligent-prospective,factual_correctness,90,0.22180626992783065,0.27275172321944263,82.95555555555555,5.764814814814815
Semi,diligent-prospective,conciseness,90,0.11467993023386733,0.14335517339244416,82.95555555555555,4.0851851851851855
Semi,diligent-prospective,relevance,90,0.06115823213565172,-0.025270773157841098,82.95555555555555,5.95925925925926
Semi,diligent-prospective,safety,90,0.19923403461751324,0.06097784981534391,82.95555555555555,6.870370370370371
Semi,diligent-prospective,overall,90,0.030564801610594897,-0.07687551842442188,82.95555555555555,5.314814814814815
Full,base-static,completeness,90,-0.07587206324919549,0.006798120915886855,97.38148148148149,5.355555555555555
Full,base-static,factual_correctness,90,0.18677259314772504,0.1854579487441044,97.38148148148149,5.461111111111111
Full,base-static,conciseness,90,0.20192180448860308,0.186281516249537,97.38148148148149,4.046296296296297
Full,base-static,relevance,90,0.23005614752596967,0.23198125921066018,97.38148148148149,5.409259259259259
Full,base-static,safety,90,0.08417368140183093,0.10586053555033549,97.38148148148149,6.809259259259259
Full,base-static,overall,90,0.08163236245664454,0.10166809196001611,97.38148148148149,4.87037037037037
Full,base-prospective,completeness,90,0.10317389769028529,-0.003446134003050769,96.77777777777777,5.390740740740741
Full,base-prospective,factual_correctness,90,0.27954350867103733,0.30478141203366915,96.77777777777777,5.583333333333333
Full,base-prospective,conciseness,90,0.27353481766584675,0.1430625872493224,96.77777777777777,3.8833333333333333
Full,base-prospective,relevance,90,0.19563494413217647,0.0744100503887808,96.77777777777777,5.25
Full,base-prospective,safety,90,0.1089512680586102,0.21313307597484168,96.77777777777777,6.8425925925925934
Full,base-prospective,overall,90,0.17777613663108427,0.12970136633937313,96.77777777777777,4.946296296296296
Full,diligent-static,completeness,90,-0.05475383106657179,-0.11651863602971059,96.74444444444444,5.937037037037038
Full,diligent-static,factual_correctness,90,0.1762104091462748,0.15442036191363495,96.74444444444444,5.864814814814816
Full,diligent-static,conciseness,90,0.20272824265378275,0.22035251243938508,96.74444444444444,4.040740740740741
Full,diligent-static,relevance,90,0.08379938995783452,0.1575650860634347,96.74444444444444,5.803703703703704
Full,diligent-static,safety,90,0.016254941969084714,0.1895473167588291,96.74444444444444,6.92962962962963
Full,diligent-static,overall,90,0.0648449216289657,0.06636490700679698,96.74444444444444,5.479629629629629
Full,diligent-prospective,completeness,90,0.189205292788853,0.03229364501903448,95.88148148148149,5.783333333333333
Full,diligent-prospective,factual_correctness,90,0.33664265080615685,0.2782852366395593,95.88148148148149,5.8314814814814815
Full,diligent-prospective,conciseness,90,0.18861629602629026,0.11958777063265869,95.88148148148149,3.8722222222222222
Full,diligent-prospective,relevance,90,0.09698326479375305,0.01463279032452041,95.88148148148149,5.520370370370371
Full,diligent-prospective,safety,90,0.32784618788646375,0.26436266349868104,95.88148148148149,6.9222222222222225
Full,diligent-prospective,overall,90,0.18602937170714276,0.048122906508405484,95.88148148148149,5.290740740740741
