stage,model,saved_responses,reused_exact,fresh_saved_responses,usage_available,input_tokens,output_tokens,cached_input_tokens,cache_write_input_tokens,usage_based_usd
audit_absolute_score,claude-opus-5,360,0,360,360,2993491,242692,216048,15432,20.081829
audit_absolute_score,gemini-3.8-flash,780,0,780,780,4632246,114157,0,0,0.0
audit_absolute_score,gpt-5.6-sol,360,0,360,360,1891372,67598,0,0,11.4848
audit_direct_final_artifact,claude-opus-5,240,0,240,240,2348692,35897,607141,45275,9.96534425
audit_direct_final_artifact,gemini-3.8-flash,480,0,480,480,3280599,33284,0,0,0.0
audit_direct_final_artifact,gpt-5.6-sol,240,0,240,240,1499617,22069,367706,19198,6.5294755
audit_direct_final_revision,claude-opus-5,255,0,255,255,13325584,32079,648799,43699,64.56492325
audit_direct_final_revision,gemini-3.8-flash,495,0,495,495,20846242,34557,0,0,0.0
audit_direct_final_revision,gpt-5.6-sol,254,0,254,254,9076789,20134,401479,7764,44.1910145
audit_direct_full_trajectory,claude-opus-5,1059,0,1059,1059,125890621,152256,2818049,27371,620.61249825
audit_direct_full_trajectory,gemini-3.8-flash,1806,0,1806,1806,209091043,136746,16348,0,0.0
audit_direct_full_trajectory,gpt-5.6-sol,979,0,979,979,89148417,88611,1553648,2058,441.4115715
audit_direct_post_update,claude-opus-5,546,0,546,546,58764845,76099,1428812,33357,289.33874225
audit_direct_post_update,gemini-3.8-flash,969,0,969,969,99432945,69583,0,0,0.0
audit_direct_post_update,gpt-5.6-sol,504,0,504,504,41009037,43605,796809,4805,202.77370075
audit_pairwise_preference,claude-opus-5,240,0,240,240,2956621,70544,135900,9060,15.94648
audit_pairwise_preference,gemini-3.8-flash,480,0,480,480,4472857,65723,0,0,0.0
audit_pairwise_preference,gpt-5.6-sol,240,0,240,240,1867244,22077,0,0,9.99853
audit_rubric,claude-opus-5,1941,0,1941,1941,19282784,1683193,0,0,138.493745
audit_rubric,gemini-3.8-flash,4200,0,4200,0,0,0,0,0,0.0
audit_rubric,gpt-5.6-sol,1941,0,1941,1941,11850895,626365,1234368,10610704,85.754149
input_seed_initial_judgment,gpt-5.6-luna,1,0,1,1,5091,346,0,5088,0.0016878
optimizer_judge,gpt-5.6-luna,2816,0,2816,2816,18641133,970437,218281,18414404,5.77418062
simulator,gpt-5.6-luna,974,0,974,974,19547199,195859,0,0,4.1444706
simulator_history,gpt-5.6-luna,2,0,2,2,94245,1319,0,0,0.0204318
trace_application,gpt-5.6-luna,7627,0,7627,7627,43655535,2672450,7887,43619011,14.11757789
trace_compilation,gpt-5.6-luna,654,0,654,654,10631881,241291,0,10629919,2.94742135
trace_diagnosis,gpt-5.6-luna,919,0,919,919,27413417,2672089,914253,26496407,9.84944501
trace_enforcement,gpt-5.6-luna,1193,0,1193,1193,37567940,566135,1378998,36185363,9.75399851
trace_quality,gpt-5.6-luna,2103,0,2103,2103,23854932,1116782,2358590,21473485,6.76025285
trace_rubric_view,gpt-5.6-luna,5505,0,5505,5505,37784238,2914454,4100881,33666842,11.999375919999999
trace_semantic,gpt-5.6-luna,652,0,652,652,5599854,209611,0,5597898,1.6513989
