stage,path,status,error_type,wall_seconds
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-8-1/trace/biomnibench-da-factorial-r10-95c3c5493a0e/experiments/da-8-1/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/313e7c92ee4e640f56b8c8e205a6279bf09cb7760974af7e0fd158d47cc86ad9/attempt-001.json,provider_failure,APITimeoutError,300.0929283397272
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-20-4/trace/biomnibench-da-factorial-r10-8bc19ddce2cf/experiments/da-20-4/rep-003/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/a0538a68071b5e2bc99c18883f157c8c1296c2bebf42e171ec69dbea8d8e7ce7/attempt-001.json,provider_failure,APITimeoutError,300.1342125860974
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-20-4/trace/biomnibench-da-factorial-r10-8bc19ddce2cf/experiments/da-20-4/rep-002/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/c691a41c6b8ca1c0179ace2bf66f997c4b1cebdfa78bfda30de0bdc87987472e/attempt-001.json,provider_failure,APITimeoutError,300.13322835974395
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-20-4/trace/biomnibench-da-factorial-r10-8bc19ddce2cf/experiments/da-20-4/rep-003/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/c095f9893ec263e200d96508a48f0ed78f6d166c95afe1e42809dd37c914ef48/attempt-001.json,provider_failure,APITimeoutError,300.13562755379826
trace_application,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-4-6/trace/biomnibench-da-factorial-r10-e457a3764784/experiments/da-4-6/rep-002/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/59632b2cd11f49b770d721a2d2759cf69ed5a0eb84e9983c8257a53309572fae/attempt-001.json,provider_failure,APIConnectionError,3.459607294294983
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-26-2/trace/biomnibench-da-factorial-r10-c7cb71ea768f/experiments/da-26-2/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/893ca7c151b7ba575bbb16939c2547e51ec42ef2f9052fbf10a8a18338b51dc8/attempt-001.json,provider_failure,APITimeoutError,300.1384165068157
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-26-2/trace/biomnibench-da-factorial-r10-c7cb71ea768f/experiments/da-26-2/rep-001/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/08f46e4c20d54bc97a9b4ec588380e547644185c13465f8819e79ccca789f967/attempt-001.json,provider_failure,APITimeoutError,300.1347947847098
trace_application,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-24-3/trace/biomnibench-da-factorial-r10-0774275c26ac/experiments/da-24-3/rep-003/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/c330f67038c1ca962a0382c296060047006fc7d2fded0af3c6d14a4bf3580fa6/attempt-001.json,provider_failure,APIConnectionError,10.020743405912071
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-1-4/trace/biomnibench-da-factorial-r10-b17b44618eb8/experiments/da-1-4/rep-003/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/474d4b9de7c25ca8f4634adb844b62a3b39e5c944fe0360255f07f267bff75dc/attempt-001.json,provider_failure,APITimeoutError,300.1657044889871
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-8-3/trace/biomnibench-da-factorial-r10-a7fd110c4d98/experiments/da-8-3/rep-001/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/cbaa5c6ef78836f1c33d5b5c945b92755430269081c9cceda608eac95655c8ef/attempt-001.json,provider_failure,APITimeoutError,300.14191908808425
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-8-3/trace/biomnibench-da-factorial-r10-a7fd110c4d98/experiments/da-8-3/rep-001/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/6549659d05e08323c525b4093f930d559fe2206a75ca3987afb614b6fcbb8d44/attempt-001.json,provider_failure,APITimeoutError,300.1158505277708
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-17-5/trace/biomnibench-da-factorial-r10-52099c5260fd/experiments/da-17-5/rep-003/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/4c7c7e40a2918f9921ef16765f2d674813a6161ca7e770cb83e7bc01ba7e55ca/attempt-001.json,provider_failure,APITimeoutError,300.1334124081768
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-17-5/trace/biomnibench-da-factorial-r10-52099c5260fd/experiments/da-17-5/rep-003/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/03985e48537b54cc9d81d3173cce3f6aec0b983c91a6e6f2299f2f969ad3492e/attempt-001.json,provider_failure,APITimeoutError,300.1196374706924
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-9-1/trace/biomnibench-da-factorial-r10-814fe6cc5816/experiments/da-9-1/rep-002/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/b6a1967faff2e2f2da40eb7b6996a8c69ecffd9869879e976d65d006c8165ebd/attempt-001.json,provider_failure,APITimeoutError,300.0867018578574
trace_rubric_view,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-9-1/trace/biomnibench-da-factorial-r10-814fe6cc5816/experiments/da-9-1/rep-002/luna/full-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/a2527cd9d1b724d9808bff42f2f43cd2b69a1b08ff69da183a5db2911db27296/attempt-001.json,provider_failure,APITimeoutError,300.13453332008794
trace_diagnosis,/data/user_data/aydanh/rubric_gen/runs/rtt-result40-expansion-20260918/study/da-20-1/trace/biomnibench-da-factorial-r10-c9c9e8e4035b/experiments/da-20-1/rep-001/luna/user-simulator-red-team-trace-execution-verified-proactive-provenance/trace-defense-v2-requests/942eb1dc869d477693bf7a9dbb4a3cd92f7ebad5374e131b07d66911b1c24d09/attempt-001.json,provider_failure,APITimeoutError,300.13576173828915
