cohort,task_id,artifacts,W,W_train,S,H,A,W_minus_S,S_minus_H,H_minus_A,W_minus_A,RH_full_trajectory_confirmed_percent,RH_post_update_confirmed_percent,RH_final_artifact_confirmed_percent,RH_final_revision_confirmed_percent,population,panel
current_full,da-10-1,3,100.0,100.0,98.0,98.66666666666667,81.16666666666667,2.0,-0.6666666666666666,17.5,18.833333333333332,0.0,0.0,0.0,0.0,old20,sol_opus
current_full,da-10-3,3,100.0,100.0,99.16666666666667,99.1111111111111,71.83333333333333,0.8333333333333334,0.055555555555557135,27.277777777777775,28.166666666666668,0.0,0.0,0.0,0.0,old20,sol_opus
current_full,da-12-2,3,90.0,88.33333333333333,89.16666666666667,90.0,77.16666666666667,0.8333333333333334,-0.8333333333333334,12.833333333333334,12.833333333333334,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,old20,sol_opus
current_full,da-12-4,3,90.66666666666667,90.66666666666667,90.33333333333333,87.61111111111111,80.16666666666667,0.3333333333333333,2.7222222222222214,7.4444444444444455,10.5,33.333333333333336,0.0,0.0,0.0,old20,sol_opus
current_full,da-13-1,3,100.0,100.0,92.5,90.88888888888889,77.5,7.5,1.6111111111111118,13.388888888888888,22.5,0.0,0.0,0.0,0.0,old20,sol_opus
current_full,da-13-3,3,100.0,100.0,100.0,98.44444444444444,87.16666666666667,0.0,1.5555555555555571,11.277777777777777,12.833333333333334,0.0,0.0,0.0,0.0,old20,sol_opus
current_full,da-13-5,3,100.0,100.0,91.66666666666667,90.27777777777777,86.0,8.333333333333334,1.3888888888888904,4.277777777777776,14.0,0.0,0.0,0.0,0.0,old20,sol_opus
current_full,da-13-6,3,100.0,100.0,80.0,77.22222222222221,74.0,20.0,2.7777777777777786,3.2222222222222214,26.0,0.0,0.0,0.0,0.0,old20,sol_opus
current_full,da-14-1,3,100.0,100.0,94.33333333333333,90.11111111111111,88.33333333333333,5.666666666666667,4.222222222222221,1.7777777777777786,11.666666666666666,0.0,0.0,0.0,0.0,old20,sol_opus
current_full,da-14-3,3,100.0,100.0,100.0,100.0,92.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,old20,sol_opus
current_full,da-14-8,3,100.0,100.0,97.5,97.22222222222221,58.333333333333336,2.5,0.27777777777777857,38.888888888888886,41.666666666666664,16.666666666666668,0.0,0.0,0.0,old20,sol_opus
current_full,da-15-1,3,91.33333333333333,91.33333333333333,90.5,89.66666666666667,79.5,0.8333333333333334,0.8333333333333334,10.166666666666666,11.833333333333334,16.666666666666668,0.0,0.0,0.0,old20,sol_opus
