feedback,condition,dimension,assignments,tasks,initial_mean,final_mean,delta_mean,delta_ci_low,delta_ci_high,majority_eligible,majority_final_wins,majority_final_win_rate,consensus_eligible,consensus_final_wins,consensus_final_win_rate
Full,base-prospective,completeness,90,30,4.411111111111111,5.390740740740741,0.9796296296296295,0.7444444444444445,1.2296296296296296,68,38,0.5588235294117647,33,21,0.6363636363636364
Full,base-prospective,factual_correctness,90,30,5.57037037037037,5.583333333333333,0.012962962962962971,-0.16296296296296295,0.2166666666666666,68,38,0.5588235294117647,33,21,0.6363636363636364
Full,base-prospective,conciseness,90,30,6.644444444444445,3.8833333333333333,-2.761111111111111,-2.998148148148148,-2.5296296296296297,68,38,0.5588235294117647,33,21,0.6363636363636364
Full,base-prospective,relevance,90,30,6.555555555555555,5.25,-1.3055555555555556,-1.5,-1.112962962962963,68,38,0.5588235294117647,33,21,0.6363636363636364
Full,base-prospective,safety,90,30,6.622222222222222,6.8425925925925934,0.22037037037037036,0.10555555555555547,0.36666666666666664,68,38,0.5588235294117647,33,21,0.6363636363636364
Full,base-prospective,overall,90,30,4.874074074074074,4.946296296296296,0.07222222222222224,-0.14629629629629629,0.3185185185185185,68,38,0.5588235294117647,33,21,0.6363636363636364
Full,base-static,completeness,90,30,4.461111111111111,5.355555555555555,0.8944444444444445,0.6722222222222223,1.1203703703703702,65,36,0.5538461538461539,32,19,0.59375
Full,base-static,factual_correctness,90,30,5.657407407407407,5.461111111111111,-0.1962962962962963,-0.3888888888888889,0.012962962962962926,65,36,0.5538461538461539,32,19,0.59375
Full,base-static,conciseness,90,30,6.662962962962963,4.046296296296297,-2.6166666666666667,-2.97962962962963,-2.242592592592593,65,36,0.5538461538461539,32,19,0.59375
Full,base-static,relevance,90,30,6.596296296296296,5.409259259259259,-1.187037037037037,-1.4074074074074072,-0.9703703703703703,65,36,0.5538461538461539,32,19,0.59375
Full,base-static,safety,90,30,6.648148148148149,6.809259259259259,0.16111111111111112,0.0462962962962963,0.2925925925925926,65,36,0.5538461538461539,32,19,0.59375
Full,base-static,overall,90,30,4.912962962962963,4.87037037037037,-0.042592592592592564,-0.2925925925925925,0.19629629629629636,65,36,0.5538461538461539,32,19,0.59375
Full,diligent-prospective,completeness,90,30,4.294444444444444,5.783333333333333,1.488888888888889,1.2981481481481478,1.7185185185185183,68,54,0.7941176470588235,34,33,0.9705882352941176
Full,diligent-prospective,factual_correctness,90,30,5.6,5.8314814814814815,0.2314814814814815,0.038888888888888966,0.45185185185185184,68,54,0.7941176470588235,34,33,0.9705882352941176
Full,diligent-prospective,conciseness,90,30,6.6685185185185185,3.8722222222222222,-2.7962962962962963,-3.035185185185185,-2.5407407407407407,68,54,0.7941176470588235,34,33,0.9705882352941176
Full,diligent-prospective,relevance,90,30,6.546296296296296,5.520370370370371,-1.025925925925926,-1.2222222222222223,-0.8240740740740742,68,54,0.7941176470588235,34,33,0.9705882352941176
Full,diligent-prospective,safety,90,30,6.622222222222222,6.9222222222222225,0.3,0.17777777777777778,0.4518518518518519,68,54,0.7941176470588235,34,33,0.9705882352941176
Full,diligent-prospective,overall,90,30,4.805555555555555,5.290740740740741,0.48518518518518516,0.2722222222222222,0.7351851851851853,68,54,0.7941176470588235,34,33,0.9705882352941176
Full,diligent-static,completeness,90,30,4.3,5.937037037037038,1.637037037037037,1.412962962962963,1.8703703703703705,65,57,0.8769230769230769,38,36,0.9473684210526315
Full,diligent-static,factual_correctness,90,30,5.6537037037037035,5.864814814814816,0.21111111111111103,-0.014814814814814841,0.45370370370370366,65,57,0.8769230769230769,38,36,0.9473684210526315
Full,diligent-static,conciseness,90,30,6.701851851851852,4.040740740740741,-2.661111111111111,-2.9,-2.4092592592592594,65,57,0.8769230769230769,38,36,0.9473684210526315
Full,diligent-static,relevance,90,30,6.616666666666666,5.803703703703704,-0.812962962962963,-1.037037037037037,-0.587037037037037,65,57,0.8769230769230769,38,36,0.9473684210526315
Full,diligent-static,safety,90,30,6.612962962962962,6.92962962962963,0.31666666666666665,0.18148148148148147,0.4666666666666667,65,57,0.8769230769230769,38,36,0.9473684210526315
Full,diligent-static,overall,90,30,4.837037037037037,5.479629629629629,0.6425925925925926,0.39259259259259255,0.9092592592592592,65,57,0.8769230769230769,38,36,0.9473684210526315
Semi,base-prospective,completeness,90,30,1.635185185185185,5.492592592592592,3.8574074074074076,3.4962962962962965,4.203703703703703,90,87,0.9666666666666667,81,79,0.9753086419753086
Semi,base-prospective,factual_correctness,90,30,4.3,5.525925925925926,1.2259259259259259,0.8944444444444445,1.5648148148148149,90,87,0.9666666666666667,81,79,0.9753086419753086
Semi,base-prospective,conciseness,90,30,6.201851851851852,3.966666666666667,-2.235185185185185,-2.522222222222222,-1.9555555555555555,90,87,0.9666666666666667,81,79,0.9753086419753086
Semi,base-prospective,relevance,90,30,2.5462962962962963,5.729629629629629,3.183333333333333,2.601851851851852,3.742592592592593,90,87,0.9666666666666667,81,79,0.9753086419753086
Semi,base-prospective,safety,90,30,6.025925925925926,6.716666666666667,0.6907407407407408,0.5685185185185185,0.8092592592592592,90,87,0.9666666666666667,81,79,0.9753086419753086
Semi,base-prospective,overall,90,30,1.8055555555555556,5.072222222222222,3.2666666666666666,2.838888888888889,3.672222222222222,90,87,0.9666666666666667,81,79,0.9753086419753086
Semi,base-static,completeness,90,30,1.612962962962963,4.574074074074074,2.9611111111111112,2.5166666666666666,3.388888888888889,82,75,0.9146341463414634,77,71,0.922077922077922
Semi,base-static,factual_correctness,90,30,4.42037037037037,5.222222222222222,0.8018518518518517,0.4481481481481481,1.1462962962962961,82,75,0.9146341463414634,77,71,0.922077922077922
Semi,base-static,conciseness,90,30,6.242592592592593,3.648148148148148,-2.5944444444444446,-2.968518518518519,-2.2314814814814814,82,75,0.9146341463414634,77,71,0.922077922077922
Semi,base-static,relevance,90,30,2.5166666666666666,5.003703703703703,2.487037037037037,1.8537037037037039,3.1074074074074076,82,75,0.9146341463414634,77,71,0.922077922077922
Semi,base-static,safety,90,30,6.033333333333333,6.548148148148148,0.5148148148148147,0.33148148148148143,0.6759259259259258,82,75,0.9146341463414634,77,71,0.922077922077922
Semi,base-static,overall,90,30,1.7777777777777777,4.309259259259259,2.5314814814814817,2.05,2.988888888888889,82,75,0.9146341463414634,77,71,0.922077922077922
Semi,diligent-prospective,completeness,90,30,1.5907407407407406,5.640740740740741,4.05,3.7444444444444445,4.35,89,88,0.9887640449438202,83,83,1.0
Semi,diligent-prospective,factual_correctness,90,30,4.190740740740741,5.764814814814815,1.574074074074074,1.2777777777777777,1.8666666666666667,89,88,0.9887640449438202,83,83,1.0
Semi,diligent-prospective,conciseness,90,30,6.164814814814815,4.0851851851851855,-2.0796296296296295,-2.3148148148148144,-1.8481481481481483,89,88,0.9887640449438202,83,83,1.0
Semi,diligent-prospective,relevance,90,30,2.511111111111111,5.95925925925926,3.4481481481481486,2.90925925925926,3.9703703703703708,89,88,0.9887640449438202,83,83,1.0
Semi,diligent-prospective,safety,90,30,5.953703703703704,6.870370370370371,0.9166666666666666,0.8037037037037038,1.0277777777777777,89,88,0.9887640449438202,83,83,1.0
Semi,diligent-prospective,overall,90,30,1.7351851851851852,5.314814814814815,3.57962962962963,3.2111111111111112,3.931481481481481,89,88,0.9887640449438202,83,83,1.0
Semi,diligent-static,completeness,90,30,1.5722222222222222,4.716666666666667,3.1444444444444444,2.6685185185185185,3.6055555555555556,85,77,0.9058823529411765,73,68,0.9315068493150684
Semi,diligent-static,factual_correctness,90,30,4.340740740740741,5.337037037037037,0.9962962962962962,0.5888888888888888,1.3833333333333333,85,77,0.9058823529411765,73,68,0.9315068493150684
Semi,diligent-static,conciseness,90,30,6.231481481481482,3.6296296296296298,-2.6018518518518516,-2.987037037037037,-2.2314814814814814,85,77,0.9058823529411765,73,68,0.9315068493150684
